id;prty_fk;frst_cntry_frmt;frst_continent;scnd_cntry_frmt;scnd_continent;thrd_cntry_frmt;thrd_continent;frth_cntry_frmt;frth_continent;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;along er yet;pace via above;key gadzooks online;personal;reconstitute frantically modulo;energetically nor;coolly against excitement;offensively;makeover hence provided;among below plush;2023-10-24;2023-10-24;yahoo bisect meh;regarding needily
2;before hmph given;save sponsorship ornate;aha disastrous more;unless fickle faithfully;silent adulthood;massage supposing;quizzically around;although;improvise rooster bedazzle;thunderstorm norm;2023-10-24;2023-10-23;ordinary underneath;from
3;unto;fast sweetly decision-making;readily brr now;aboard remaster;mountainous lyre;jail;huzzah inculcate finally;palace;zowie;immunise almost;2023-10-24;2023-10-24;mobile retest immaterial;differ upwardly
4;glower hardening kissingly;but valiantly rose;refurbish round swan;lid gee geez;heavenly transmute;grizzled quirk revenue;disarm;remarkable spec overachieve;acidly repentant;lost;2023-10-23;2023-10-24;nap accidentally ew;anchovy fooey
5;patiently whereas hopelessly;fast;since;within;once tip;crackle unruly;connect;once;studious CD;sternly unabashedly;2023-10-24;2023-10-24;yippee;housing evenly
6;now pace yuck;since instead;yieldingly root;even;cooking jaggedly by;ketch needily truly;negligible since;ruddy;opposite;scoop log;2023-10-24;2023-10-24;enlightened;generously yellowish journal
7;furthermore ack fortunately;idealise neat why;instead;hmph whose;furthermore;seriously;patiently yet;wink famous until;brushfire;whoever when provided;2023-10-24;2023-10-23;psst;mortified how helplessly
8;and;manicure mmm lively;hm;oof;aboard gee;easy;upward;earthworm;elastic;ultimately pelican;2023-10-23;2023-10-24;knottily sharply resound;vivo
9;after gee;unacceptable circa;judicious yum solidly;apud;unhealthy absent;until jaunty restock;amnesty discourage;forenenst;longingly;amid;2023-10-24;2023-10-23;youthful lest coaxingly;carelessly cleverly smug
10;instantly;galoshes logic french;occurrence shipyard upon;plead manipulate why;embassy tightly;well-documented meanwhile;vouchsafe kindheartedly;finally inside;yet;knowledgeable;2023-10-23;2023-10-24;minus fulfil;bridle grocery
